ord_value,account_name,2024,2023,2022,2021,2020,2019,2018,2017,2016,2015,2014,2013,ancestors
25,해외사업장환산외환차이,"297,224,645","378,828,955","(592,418,937)","406,134,730","(147,323,417)","(222,490,561)","342,068,987","102,303,847","(86,220,050)","30,463,306","493,061,301","89,801,963",
26,지분법적용대상관계기업과공동기업의기타포괄손익에대한지분,"529,556,388","(233,788,361)","641,694,703","110,874,426","21,740,216","(72,754,871)","5,960,344",0,0,,,,"기타포괄손익,당기손익으로재분류될수있는항목"
27,총포괄손익,"5,773,677,866","2,187,819,833","7,821,553,396","(293,820,603)","(672,015,200)","(10,098,295,743)","(5,309,276,920)","(9,770,886,551)","(24,535,575,080)","23,200,214,661","2,474,502,490","2,980,153,724",
28,총포괄손익의귀속,0,0,0,0,0,0,0,0,0,,,,
29,"포괄손익,지배기업의소유주에게귀속되는지분","5,770,129,921","2,181,579,566","7,843,433,039","(274,424,664)","(659,375,160)","(10,080,722,273)","(5,247,007,541)","(9,659,367,648)","(24,351,037,820)","23,183,541,285","2,538,300,982","3,000,852,729",총포괄손익의귀속
30,"포괄손익,비지배지분","3,547,945","6,240,267","(21,879,643)","(19,395,939)","(12,640,040)","(17,573,470)","(62,269,379)","(111,518,903)","(184,537,260)","16,673,376","(63,798,492)","(20,699,005)",총포괄손익의귀속
31,주당이익,0,0,0,0,0,0,0,0,0,0,0,0,
32,기본주당이익,207,65,262,(24),(36),(414),(331),(555),"(1,409)","1,662",219,302,주당이익
33,희석주당이익,174,65,262,(24),(36),(414),(331),(555),"(1,409)","1,642",217,302,주당이익
34,보험수리적손실,0,0,0,0,0,0,0,"64,266,742","(481,770,977)","(353,917,034)","(451,353,277)","(173,747,486)",
36,관계기업투자자본변동,0,0,0,0,0,0,0,"9,771,364",0,0,,,
37,포괄손익의귀속,0,0,0,0,0,0,0,0,0,0,0,0,
